Sym,Name,Industry,M Cap,%5d
LIT,LIVIUM LTD,Materials,$23M,2.94
NXM,NEXUS MINERALS LIMITED,Materials,$22M,-8.0
MOV,MOVE LOGISTICS GROUP LIMITED,Transportation,$22M,0.0
WNX,WELLNEX LIFE LIMITED,"Food, Beverage & Tobacco",$22M,5.88
SOR,STRATEGIC ELEMENTS LIMITED,Financial Services,$22M,12.2
ECS,ECS BOTANICS HOLDINGS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$22M,-5.88
HTG,HARVEST TECHNOLOGY GROUP LTD,Technology Hardware & Equipment,$22M,4.17
SRJ,SRJ TECHNOLOGIES GROUP PLC,Energy,$22M,12.9
CXZ,CONNEXION MOBILITY LTD,Software & Services,$22M,0.0
CBE,COBRE LIMITED,Materials,$22M,-5.45
WWG,WISEWAY GROUP LIMITED,Transportation,$22M,4.0
VPR,VOLT GROUP LIMITED,Utilities,$21M,33.33
KRR,KING RIVER RESOURCES LIMITED,Materials,$21M,0.0
CYB,AUCYBER LIMITED,Software & Services,$21M,40.91
FAL,FALCON METALS LTD,Materials,$21M,-8.0
JAV,JAVELIN MINERALS LIMITED,Materials,$21M,0.0
FUL,FULCRUM LITHIUM LTD,Materials,$21M,-8.57
CAN,CANN GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$21M,-5.0
COD,CODA MINERALS LTD,Materials,$21M,18.57
CCM,CADOUX LIMITED,Materials,$21M,-3.45
LVH,LIVEHIRE LIMITED,Software & Services,$21M,0.0
TAL,TALIUS GROUP LIMITED,Software & Services,$21M,33.33
ADN,ANDROMEDA METALS LIMITED,Materials,$21M,0.0
CC9,CHARIOT CORPORATION LTD,Materials,$20M,-3.85
ODA,ORCODA LIMITED,Software & Services,$20M,0.0
PUA,PEAK MINERALS LIMITED,Materials,$20M,0.0
NAC,NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,Not Applic,$20M,2.44
RAU,RESOURO STRATEGIC METALS INC.,Materials,$20M,-9.09
CNQ,CLEAN TEQ WATER LIMITED,Commercial & Professional Services,$20M,0.0
EXT,EXCITE TECHNOLOGY SERVICES LTD,Software & Services,$20M,0.0
IXU,IXUP LIMITED,Software & Services,$20M,0.0
BTN,BUTN LIMITED,Financial Services,$20M,-9.09
HCF,H&G HIGH CONVICTION LIMITED,Not Applic,$20M,-4.38
TOU,TLOU ENERGY LIMITED,Energy,$19M,3.45
EVZ,EVZ LIMITED,Capital Goods,$19M,6.67
SRL,SUNRISE ENERGY METALS LIMITED,Materials,$19M,-2.27
NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,Materials,$19M,11.43
ICL,ICENI GOLD LIMITED,Materials,$19M,1.56
NYR,NYRADA INC.,"Pharmaceuticals, Biotechnology & Life Sciences",$19M,-9.52
XRG,XREALITY GROUP LTD,Consumer Services,$19M,9.68
HMD,HERAMED LIMITED,Health Care Equipment & Services,$19M,-4.76
LGM,LEGACY MINERALS HOLDINGS LIMITED,Materials,$19M,-3.33
AEI,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services,$19M,-8.24
MBH,MAGGIE BEER HOLDINGS LTD,"Food, Beverage & Tobacco",$19M,1.85
A1G,AFRICAN GOLD LTD.,Materials,$19M,-3.85
CXU,CAULDRON ENERGY LIMITED,Energy,$19M,8.33
AS1,ASARA RESOURCES LIMITED,Materials,$19M,-21.74
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials,$19M,-14.29
FOS,FOS CAPITAL LTD,Capital Goods,$19M,-1.39
MXR,MAXIMUS RESOURCES LIMITED,Materials,$19M,-8.16
BEO,BEONIC LTD,Software & Services,$19M,0.0
RPM,RPM AUTOMOTIVE GROUP LIMITED,Automobiles & Components,$19M,-2.82
EME,ENERGY METALS LTD,Energy,$19M,7.78
QML,QMINES LIMITED,Materials,$19M,-8.77
INV,INVESTSMART GROUP LIMITED,Financial Services,$19M,-7.14
PHO,PHOSCO LTD,Materials,$18M,0.0
IMC,IMMURON LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$18M,-2.44
HIO,HAWSONS IRON LTD,Materials,$18M,0.0
EMB,EMBELTON LIMITED,Capital Goods,$18M,0.0
S66,STAR COMBO PHARMA LIMITED,Household & Personal Products,$18M,-3.57
POD,PODIUM MINERALS LIMITED,Materials,$18M,-2.94
CSS,CLEAN SEAS SEAFOOD LIMITED,"Food, Beverage & Tobacco",$18M,-30.77
FGR,FIRST GRAPHENE LIMITED,Materials,$18M,-3.57
KAM,K2 ASSET MANAGEMENT HOLDINGS LTD,Financial Services,$18M,0.0
AR9,ARCHTIS LIMITED,Software & Services,$18M,-1.59
IVX,INVION LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$18M,5.56
HPR,HIGH PEAK ROYALTIES LIMITED,Energy,$18M,0.0
LSA,LACHLAN STAR LIMITED,Materials,$18M,0.0
TGH,TERRAGEN HOLDINGS LIMITED,Materials,$18M,-5.0
FNX,FINEXIA FINANCIAL GROUP LIMITED,Financial Services,$17M,-3.45
VR8,VANADIUM RESOURCES LIMITED,Materials,$17M,6.67
FPP,FAT PROPHETS GLOBAL PROPERTY FUND,Not Applic,$17M,4.64
AXI,AXIOM PROPERTIES LIMITED,Real Estate Management & Development,$17M,-21.57
ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development,$17M,0.0
ADX,ADX ENERGY LTD,Energy,$17M,0.0
NGX,NGX LIMITED,Materials,$17M,2.94
BAS,BASS OIL LIMITED,Energy,$17M,13.46
LEX,LEFROY EXPLORATION LIMITED,Materials,$17M,6.06
ELT,ELEMENTOS LIMITED,Materials,$17M,-7.89
TIA,TIAN AN AUSTRALIA LIMITED,Real Estate Management & Development,$17M,2.63
NUC,NUCHEV LIMITED,"Food, Beverage & Tobacco",$17M,0.0
POS,POSEIDON NICKEL LIMITED,Materials,$17M,0.0
NVU,NANOVEU LIMITED,Technology Hardware & Equipment,$17M,-2.94
MLS,METALS AUSTRALIA LTD,Materials,$17M,4.76
ZNC,ZENITH MINERALS LIMITED,Materials,$17M,4.88
KNI,KUNIKO LIMITED,Materials,$16M,5.56
ARI,ARIKA RESOURCES LIMITED,Materials,$16M,3.85
IME,IMEXHS LIMITED,Health Care Equipment & Services,$16M,2.86
OEC,ORBITAL CORPORATION LIMITED,Capital Goods,$16M,-4.76
CAV,CARNAVALE RESOURCES LIMITED,Materials,$16M,0.0
MPK,MANY PEAKS MINERALS LTD,Materials,$16M,-4.76
HIQ,HITIQ LIMITED,Health Care Equipment & Services,$16M,4.55
RWD,REWARD MINERALS LTD,Materials,$16M,-7.58
ODY,ODYSSEY GOLD LTD,Materials,$16M,-5.26
EMD,EMYRIA LIMITED,Health Care Equipment & Services,$16M,0.0
REZ,RESOURCES & ENERGY GROUP LIMITED,Materials,$16M,20.0
BSX,BLACKSTONE MINERALS LIMITED,Materials,$16M,16.0
GUE,GLOBAL URANIUM AND ENRICHMENT LTD,Materials,$16M,12.5
TZL,TZ LIMITED,Technology Hardware & Equipment,$16M,-7.69
VN8,VONEX LIMITED..,Telecommunication Services,$16M,0.0
AGD,AUSTRAL GOLD LIMITED,Materials,$16M,22.73
HCL,HIGHCOM LIMITED,Capital Goods,$16M,-3.13
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services,$16M,0.0
AR3,AUSTRALIAN RARE EARTHS LIMITED,Materials,$16M,-9.09
Z2U,ZOOM2U TECHNOLOGIES LIMITED,Software & Services,$16M,12.33
CLU,CLUEY LTD,Consumer Services,$16M,-4.76
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco",$16M,-10.42
ACP,AUDALIA RESOURCES LIMITED,Materials,$16M,-4.76
JLL,JINDALEE LITHIUM LIMITED,Materials,$16M,10.53
SPN,SPARC TECHNOLOGIES LIMITED,Materials,$16M,6.45
ADY,ADMIRALTY RESOURCES NL.,Materials,$16M,0.0
ORD,ORDELL MINERALS LIMITED,Materials,$16M,8.62
NOR,NORWOOD SYSTEMS LIMITED,Software & Services,$16M,3.13
BLU,BLUE ENERGY LIMITED.,Energy,$16M,-5.56
TRP,TISSUE REPAIR LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$16M,-3.7
SCP,SCALARE PARTNERS HOLDINGS LIMITED,Consumer Staples Distribution & Retail,$16M,-13.89
GAS,STATE GAS LIMITED,Energy,$16M,-15.22
BDG,BLACK DRAGON GOLD CORP.,Materials,$16M,144.0
DXN,DXN LIMITED,Software & Services,$16M,0.0
FRB,FIREBIRD METALS LIMITED,Materials,$16M,4.76
GLE,GLG CORP LTD,Consumer Durables & Apparel,$16M,0.0
SLS,SOLSTICE MINERALS LIMITED,Materials,$16M,0.0
FFG,FATFISH GROUP LIMITED,Financial Services,$15M,-9.09
KZR,KALAMAZOO RESOURCES LIMITED,Materials,$15M,1.23
HHR,HARTSHEAD RESOURCES NL,Energy,$15M,-8.33
ARV,ARTEMIS RESOURCES LIMITED,Materials,$15M,-5.56
BIT,BIOTRON LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$15M,0.0
SOC,SOCO CORPORATION LTD,Software & Services,$15M,0.0
AMO,AMBERTECH LIMITED,Technology Hardware & Equipment,$15M,0.0
GTE,GREAT WESTERN EXPLORATION LIMITED.,Materials,$15M,4.0
KM1,KALI METALS LIMITED,Materials,$15M,-16.0
BTE,BOTALA ENERGY LTD,Energy,$15M,0.0
MGL,MAGONTEC LIMITED,Materials,$15M,0.0
CBL,CONTROL BIONICS LIMITED,Health Care Equipment & Services,$15M,-3.17
GRV,GREENVALE ENERGY LTD,Energy,$15M,-3.13
AUK,AUMAKE LIMITED.,Consumer Discretionary Distribution & Retail,$15M,-16.67
ASP,ASPERMONT LIMITED.,Media & Entertainment,$15M,20.0
ASV,ASSET VISION CO LTD,Commercial & Professional Services,$15M,-16.67
UNT,UNITH LTD,Media & Entertainment,$15M,-14.29
CXM,CENTREX LIMITED,Materials,$15M,0.0
OLH,OLDFIELDS HOLDINGS LIMITED,Capital Goods,$15M,8.33
SHO,SPORTSHERO LIMITED,Media & Entertainment,$15M,11.11
NOV,NOVATTI GROUP LIMITED,Software & Services,$15M,-6.9
CRR,CRITICAL RESOURCES LIMITED,Materials,$15M,-14.29
AQN,AQUIRIAN LIMITED,Commercial & Professional Services,$15M,0.0
EQX,EQUATORIAL RESOURCES LIMITED,Materials,$14M,0.0
MGT,MAGNETITE MINES LIMITED.,Materials,$14M,-3.85
GSN,GREAT SOUTHERN MINING LIMITED,Materials,$14M,3.57
MCO,MYECO GROUP LTD,Materials,$14M,0.0
PTL,PRESTAL HOLDINGS LIMITED,Household & Personal Products,$14M,1.19
SHN,SUNSHINE METALS LIMITED,Materials,$14M,0.0
CCE,CARNEGIE CLEAN ENERGY LIMITED,Utilities,$14M,-2.56
PXX,POLARX LIMITED,Materials,$14M,7.69
LDR,LODE RESOURCES LTD,Materials,$14M,-7.22
TON,TRITON MINERALS LTD,Materials,$14M,28.57
SNG,SIREN GOLD LIMITED,Materials,$14M,-4.41
AUZ,AUSTRALIAN MINES LIMITED,Materials,$14M,-9.09
CCO,THE CALMER CO INTERNATIONAL LIMITED,Household & Personal Products,$14M,20.0
EMP,EMPEROR ENERGY LIMITED,Energy,$14M,4.0
ASE,ASTUTE METALS NL,Materials,$14M,4.0
EGY,ENERGY TECHNOLOGIES LIMITED,Capital Goods,$14M,0.0
RFT,RECTIFIER TECHNOLOGIES LTD,Capital Goods,$14M,-9.09
MAN,MANDRAKE RESOURCES LIMITED,Materials,$14M,0.0
HAW,HAWTHORN RESOURCES LIMITED,Materials,$14M,2.5
DYM,DYNAMIC METALS LIMITED,Materials,$14M,-1.75
GMN,GOLD MOUNTAIN LIMITED,Materials,$14M,0.0
NAG,NAGAMBIE RESOURCES LIMITED,Materials,$14M,-15.0
RNT,RENT.COM.AU LIMITED,Media & Entertainment,$14M,-5.26
EDU,EDU HOLDINGS LIMITED,Consumer Services,$14M,1.12
G11,G11 RESOURCES LIMITED,Materials,$14M,-12.5
TKM,TREK METALS LIMITED,Materials,$14M,8.33
FZR,FITZROY RIVER CORPORATION LTD,Energy,$13M,0.0
VFX,VISIONFLEX GROUP LIMITED,Health Care Equipment & Services,$13M,33.33
EAX,ENERGY ACTION LIMITED,Commercial & Professional Services,$13M,0.0
BPH,BPH ENERGY LTD,Financial Services,$13M,0.0
MAG,MAGMATIC RESOURCES LIMITED,Materials,$13M,-3.03
AKA,AUREKA LIMITED,Materials,$13M,12.0
ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$13M,0.0
AXL,AXEL REE LIMITED,Materials,$13M,-2.63
AFL,AF LEGAL GROUP LTD,Commercial & Professional Services,$13M,0.0
FRE,FIREBRICK PHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$13M,16.36
AZI,ALTAMIN LIMITED,Materials,$13M,13.64
WMG,WESTERN MINES GROUP LTD,Materials,$13M,3.45
SPQ,SUPERIOR RESOURCES LIMITED,Materials,$13M,-14.29
EQN,EQUINOX RESOURCES LIMITED.,Materials,$13M,9.52
5GG,PENTANET LIMITED,Telecommunication Services,$13M,-3.23
TOR,TORQUE METALS LIMITED..,Materials,$13M,1.96
EMN,EURO MANGANESE INC,Materials,$13M,-17.07
EOF,ECOFIBRE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$13M,15.38
MKG,MAKO GOLD LIMITED,Materials,$13M,0.0
TEE,TOP END ENERGY LIMITED,Energy,$13M,14.29
FBM,FUTURE BATTERY MINERALS LIMITED,Materials,$13M,-5.0
VRC,VOLT RESOURCES LIMITED,Materials,$13M,-25.0
CR1,CONSTELLATION RESOURCES LIMITED,Materials,$13M,11.11
AKO,AKORA RESOURCES LIMITED,Materials,$13M,-4.76
FDR,FINDER ENERGY HOLDINGS LIMITED,Energy,$13M,-13.33
BPP,BABYLON PUMP & POWER LIMITED,Capital Goods,$12M,0.0
PVL,POWERHOUSE VENTURES LIMITED,Financial Services,$12M,18.18
ZGL,ZICOM GROUP LIMITED,Capital Goods,$12M,16.0
PV1,PROVARIS ENERGY LTD,Energy,$12M,5.88
VMC,VENUS METALS CORPORATION LIMITED,Materials,$12M,-4.55
CAG,CAPE RANGE LTD,Software & Services,$12M,13.04
BNR,BULLETIN RESOURCES LIMITED,Materials,$12M,5.41
FHS,FREEHILL MINING LIMITED.,Materials,$12M,-20.0
NIM,NIMY RESOURCES LIMITED,Materials,$12M,-32.58
MHI,MERCHANT HOUSE INTERNATIONAL LIMITED,Consumer Durables & Apparel,$12M,-13.33
DKM,DUKETON MINING LIMITED,Materials,$12M,0.0
KOB,KOBA RESOURCES LIMITED,Materials,$12M,-7.32
GUL,GULLEWA LIMITED,Materials,$12M,-1.75
BMH,BAUMART HOLDINGS LIMITED,Capital Goods,$12M,0.0
AT1,ATOMO DIAGNOSTICS LIMITED,Health Care Equipment & Services,$12M,0.0
X2M,X2M CONNECT LIMITED,Technology Hardware & Equipment,$12M,0.0
CUF,CUFE LTD,Materials,$12M,25.0
CTO,CITIGOLD CORPORATION LIMITED,Materials,$12M,0.0
PGM,PLATINA RESOURCES LIMITED,Materials,$12M,-5.26
1AI,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$12M,-14.29
EPX,EP&T GLOBAL LIMITED,Software & Services,$12M,0.0
LLI,LOYAL LITHIUM LIMITED,Materials,$12M,-9.09
VML,VITAL METALS LIMITED,Materials,$12M,0.0
WSI,WESTSTAR INDUSTRIAL LIMITED,Materials,$12M,-9.52
CND,CONDOR ENERGY LIMITED,Energy,$12M,-5.0
ASO,ASTON MINERALS LIMITED,Materials,$12M,28.57
AXP,AXP ENERGY LIMITED,Energy,$12M,0.0
NET,NETLINKZ LIMITED,Software & Services,$12M,0.0
EG1,EVERGREEN LITHIUM LIMITED,Materials,$12M,-8.57
INF,INFINITY LITHIUM CORPORATION LIMITED,Materials,$12M,12.5
RCL,READCLOUD LIMITED,Software & Services,$12M,-1.25
CF1,COMPLII FINTECH SOLUTIONS LTD,Software & Services,$11M,27.78
N1H,N1 HOLDINGS LIMITED,Financial Services,$11M,0.0
NSX,NSX LIMITED,Financial Services,$11M,0.0
EPM,ECLIPSE METALS LIMITED.,Energy,$11M,-28.57
HLXE,HELIX RESOURCES LIMITED,Materials,$11M,0.0
HLX,HELIX RESOURCES LIMITED,Materials,$11M,14.29
1CG,ONE CLICK GROUP LIMITED,Capital Goods,$11M,-9.09
KNB,KOONENBERRY GOLD LIMITED,Materials,$11M,0.0
IND,INDUSTRIAL MINERALS LTD,Materials,$11M,23.08
CMG,CRITICAL MINERALS GROUP LIMITED,Materials,$11M,17.86
MPP,METRO PERFORMANCE GLASS LIMITED,Capital Goods,$11M,-9.09
TNY,TINYBEANS GROUP LTD,Media & Entertainment,$11M,7.14
PR2,PICHE RESOURCES LIMITED,Class Pend,$11M,-5.95
RKT,ROCKETDNA LTD.,Technology Hardware & Equipment,$11M,18.18
TSL,TITANIUM SANDS LIMITED,Materials,$11M,25.0
TRU,TRUSCREEN GROUP LIMITED,Health Care Equipment & Services,$11M,-4.76
CHM,CHIMERIC THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$11M,-14.29
AU1,THE AGENCY GROUP AUSTRALIA LTD,Real Estate Management & Development,$11M,-20.0
LPM,LITHIUM PLUS MINERALS LTD.,Materials,$11M,-15.15
PIL,PEPPERMINT INNOVATION LIMITED,Software & Services,$11M,0.0
BNL,BLUE STAR HELIUM LIMITED,Energy,$11M,-11.11
LCL,LCL RESOURCES LIMITED,Materials,$11M,-5.26
ALR,ALTAIR MINERALS LIMITED,Materials,$11M,-16.67
PNN,POWER MINERALS LIMITED,Materials,$11M,4.4
IGN,IGNITE LIMITED,Commercial & Professional Services,$11M,0.77
ATV,ACTIVEPORT GROUP LTD,Software & Services,$11M,11.76
ANR,ANATARA LIFESCIENCES LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$11M,-19.23
SGA,SARYTOGAN GRAPHITE LIMITED,Materials,$11M,-3.08
MEM,MEMPHASYS LIMITED.,"Pharmaceuticals, Biotechnology & Life Sciences",$11M,0.0
VKA,VIKING MINES LIMITED,Materials,$11M,0.0
NC1,NICO RESOURCES LIMITED,Materials,$11M,1.11
KNG,KINGSLAND MINERALS LTD,Materials,$11M,-3.33
ANX,ANAX METALS LIMITED,Materials,$11M,20.0
BCM,BRAZILIAN CRITICAL MINERALS LIMITED,Materials,$11M,5.56
SHP,SOUTH HARZ POTASH LTD,Materials,$10M,-9.09
TEG,TRIANGLE ENERGY (GLOBAL) LIMITED,Energy,$10M,-16.67
DGR,DGR GLOBAL LIMITED,Materials,$10M,0.0
ILT,ILTANI RESOURCES LIMITED.,Materials,$10M,8.11
HGL,HUDSON INVESTMENT GROUP LIMITED,Real Estate Management & Development,$10M,0.0
SUM,SUMMIT MINERALS LIMITED,Materials,$10M,-3.85
BDT,BIRDDOG TECHNOLOGY LIMITED,Technology Hardware & Equipment,$10M,1.56
PAM,PAN ASIA METALS LIMITED,Materials,$10M,-5.56
NNL,NORDIC RESOURCES LTD,Materials,$10M,-22.22
ATS,AUSTRALIS OIL & GAS LIMITED,Energy,$10M,0.0
TG6,TG METALS LIMITED,Materials,$10M,0.0
QEM,QEM LIMITED,Materials,$10M,40.0
UWC,UNDERWOOD CAPITAL LIMITED,Not Applic,$10M,0.0
LML,LINCOLN MINERALS LIMITED,Materials,$10M,20.0
BM8,BATTERY AGE MINERALS LTD,Materials,$10M,0.0
KNO,KNOSYS LIMITED,Software & Services,$10M,4.44
SRR,SARAMA RESOURCES LTD,Materials,$10M,-6.45
NME,NEX METALS EXPLORATION LIMITED,Materials,$10M,8.82
ID8,IDENTITII LIMITED,Software & Services,$10M,-7.14
HMG,HAMELIN GOLD LIMITED,Materials,$10M,-7.35
PEC,PERPETUAL RESOURCES LIMITED,Materials,$10M,0.0
WIN,WIN METALS LTD,Materials,$10M,-5.56
SPA,SPACETALK LTD,Software & Services,$10M,10.0
TYX,TYRANNA RESOURCES LIMITED,Materials,$10M,33.33
ADR,ADHERIUM LIMITED,Health Care Equipment & Services,$10M,27.27
NH3,NH3 CLEAN ENERGY LIMITED,Materials,$10M,-5.26
FL1,FIRST LITHIUM LIMITED,Materials,$10M,-3.23
SP8,STREAMPLAY STUDIO LIMITED,Media & Entertainment,$10M,-10.0
AON,APOLLO MINERALS LIMITED,Materials,$10M,-6.67
T88,TAITON RESOURCES LIMITED,Materials,$10M,-3.57
SFG,SEAFARMS GROUP LIMITED,"Food, Beverage & Tobacco",$10M,-33.33
RLF,RLF AGTECH LTD,Materials,$10M,-20.0
OLL,OPENLEARNING LIMITED,Software & Services,$10M,0.0
GIB,GIBB RIVER DIAMONDS LIMITED,Materials,$10M,2.5
ZAG,ZULEIKA GOLD LIMITED,Materials,$10M,-10.34
MM1,MIDAS MINERALS LTD,Materials,$10M,-10.59
ODE,ODESSA MINERALS LIMITED,Materials,$10M,0.0
PGO,PACGOLD LIMITED,Materials,$10M,0.0
PLN,PIONEER LITHIUM LIMITED,Materials,$10M,-2.38
D3E,D3 ENERGY LIMITED,Energy,$10M,-12.22
GCM,GREEN CRITICAL MINERALS LIMITED,Materials,$10M,50.0
ALM,ALMA METALS LIMITED,Energy,$10M,20.0
AVE,AVECHO BIOTECHNOLOGY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$10M,33.33
RAG,RAGNAR METALS LIMITED,Materials,$9M,-5.0
1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$9M,-11.76
GML,GATEWAY MINING LIMITED,Materials,$9M,-8.7
HOR,HORSESHOE METALS LIMITED,Materials,$9M,-6.67
GBZ,GBM RESOURCES LIMITED,Materials,$9M,0.0
GDM,GREAT DIVIDE MINING LTD,Materials,$9M,2.22
ZNO,ZOONO GROUP LIMITED,Materials,$9M,4.17
LNU,LINIUS TECHNOLOGIES LIMITED,Software & Services,$9M,0.0
PRS,PROSPECH LIMITED.,Materials,$9M,-6.67
COY,COPPERMOLY LIMITED,Materials,$9M,-7.14
TM1,TERRA METALS LIMITED,Energy,$9M,-8.33
CRS,CAPRICE RESOURCES LTD,Materials,$9M,-15.38
AQD,AUSQUEST LIMITED,Materials,$9M,-11.11
APL,ASSOCIATE GLOBAL PARTNERS LIMITED,Financial Services,$9M,0.0
BUR,BURLEY MINERALS LTD,Materials,$9M,25.86
ORP,ORPHEUS URANIUM LIMITED,Materials,$9M,-2.7
CDD,CARDNO LIMITED,Commercial & Professional Services,$9M,43.75
AUA,AUDEARA LIMITED,Consumer Durables & Apparel,$9M,27.5
1MC,MORELLA CORPORATION LIMITED,Materials,$9M,-6.67
GTR,GTI ENERGY LTD,Materials,$9M,0.0
EXL,ELIXINOL WELLNESS LIMITED,Household & Personal Products,$9M,-7.32
XGL,XAMBLE GROUP LIMITED,Media & Entertainment,$9M,-3.7
BGE,BRIDGE SAAS LIMITED,Software & Services,$9M,10.0
MIO,MACARTHUR MINERALS LIMITED,Materials,$9M,4.76
EVG,EVION GROUP NL,Materials,$9M,4.17
DVL,DORSAVI LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$9M,-7.69
ADV,ARDIDEN LTD,Materials,$9M,7.69
SVY,STAVELY MINERALS LIMITED,Materials,$9M,-11.11
CML,CONNECTED MINERALS LIMITED,Technology Hardware & Equipment,$9M,-2.7
MRR,MINREX RESOURCES LIMITED,Materials,$9M,0.0
PUR,PURSUIT MINERALS LTD,Materials,$9M,-9.09
EV1,EVOLUTION ENERGY MINERALS LIMITED,Materials,$9M,-8.0
FME,FUTURE METALS NL,Energy,$9M,-6.25
TMS,TENNANT MINERALS LIMITED,Materials,$9M,5.56
LIO,LION ENERGY LIMITED,Energy,$9M,0.0
JCS,JCURVE SOLUTIONS LTD,Software & Services,$9M,-13.33
NAE,NEW AGE EXPLORATION LIMITED,Energy,$9M,0.0
IPC,IMPERIAL PACIFIC LIMITED,Financial Services,$9M,0.0
LM1,LEEUWIN METALS LTD,Materials,$9M,100.0
ITM,ITECH MINERALS LTD,Materials,$9M,2.0
C29,C29 METALS LIMITED,Materials,$9M,0.0
ROC,ROCKETBOOTS LIMITED,Software & Services,$9M,0.0
PFE,PANTERA LITHIUM LIMITED,Materials,$9M,0.0
SRK,STRIKE RESOURCES LIMITED,Materials,$9M,20.0
AMS,ATOMOS LIMITED,Consumer Durables & Apparel,$9M,0.0
BUX,BUXTON RESOURCES LIMITED,Materials,$8M,-5.0
1AE,AURORA ENERGY METALS LIMITED,Materials,$8M,-6.38
RGT,ARGENT BIOPHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$8M,-11.76
LAT,LATITUDE 66 LIMITED,Materials,$8M,-14.29
HVY,HEAVY MINERALS LIMITED,Materials,$8M,4.17
GLA,GLADIATOR RESOURCES LIMITED,Materials,$8M,0.0
BMG,BMG RESOURCES LIMITED,Materials,$8M,-15.38
DOU,DOUUGH LIMITED,Telecommunication Services,$8M,0.0
AJL,AJ LUCAS GROUP LIMITED,Capital Goods,$8M,0.0
NWM,NORWEST MINERALS LIMITED,Materials,$8M,-20.0
PAB,PATRYS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$8M,33.33
EDE,EDEN INNOVATIONS LTD,Energy,$8M,33.33
GW1,GREENWING RESOURCES LTD,Materials,$8M,-12.5
MRQ,MRG METALS LIMITED,Materials,$8M,33.33
MGU,MAGNUM MINING AND EXPLORATION LIMITED,Materials,$8M,0.0
AHK,ARK MINES LIMITED,Materials,$8M,-17.65
AQX,ALICE QUEEN LIMITED,Materials,$8M,-6.67
UCM,USCOM LIMITED,Health Care Equipment & Services,$8M,0.0
ABX,ABX GROUP LIMITED,Materials,$8M,-8.57
LU7,LITHIUM UNIVERSE LIMITED,Materials,$8M,6.25
NYM,NARRYER METALS LIMITED,Materials,$8M,-7.55
VSR,VOLTAIC STRATEGIC RESOURCES LTD,Energy,$8M,-6.67
ECT,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,Commercial & Professional Services,$8M,-16.67
RFA,RARE FOODS AUSTRALIA LIMITED,"Food, Beverage & Tobacco",$8M,-3.33
FNR,FAR NORTHERN RESOURCES LIMITED,Materials,$8M,-21.43
FRX,FLEXIROAM LIMITED,Telecommunication Services,$8M,-9.09
BGT,BIO-GENE TECHNOLOGY LTD,Materials,$8M,2.63
GLH,GLOBAL HEALTH LIMITED,Health Care Equipment & Services,$8M,0.0
BLZ,BLAZE MINERALS LIMITED,Energy,$8M,-16.67
MXO,MOTIO LTD,Media & Entertainment,$8M,-18.92
MVL,MARVEL GOLD LIMITED,Materials,$8M,0.0
IG6,INTERNATIONAL GRAPHITE LIMITED,Capital Goods,$8M,0.0
FTZ,FERTOZ LIMITED,Materials,$8M,7.69
KCC,KINCORA COPPER LIMITED,Materials,$8M,0.0
HMI,HIREMII LIMITED,Commercial & Professional Services,$8M,10.64
AUG,AUGUSTUS MINERALS LIMITED,Materials,$8M,15.0
RRR,REVOLVER RESOURCES HOLDINGS LTD,Materials,$8M,-13.89
L1M,LIGHTNING MINERALS LTD,Materials,$8M,-2.63
MHM,MOUNT HOPE MINING LIMITED,Materials,$8M,0.0
OCT,OCTAVA MINERALS LIMITED,Materials,$8M,0.0
REY,REY RESOURCES LIMITED,Energy,$8M,0.0
PER,PERCHERON THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$8M,-88.14
TOY,TOYS'R'US ANZ LIMITED,Consumer Discretionary Distribution & Retail,$8M,-12.28
DTR,DATELINE RESOURCES LIMITED,Materials,$8M,0.0
EE1,EARTHS ENERGY LIMITED,Materials,$8M,-9.09
